,Test Y,Model Predictions
652,0,0.7832724
653,2,3.6726308
654,0,0.7476192
655,1,2.5324364
656,0,0.52095366
657,0,0.58447737
658,4,4.9788723
659,0,0.943737
660,1,0.6928104
661,0,0.61358535
662,5,2.0905144
663,0,1.0557594
664,0,1.613331
665,1,0.95636916
666,1,1.6871645
667,0,0.61885124
668,0,0.8694606
669,0,1.7847993
670,2,1.6598088
671,2,1.1323144
672,1,1.8220403
673,1,1.6014724
674,2,0.72713757
675,0,0.62523556
676,1,0.7319568
677,0,0.12230921
678,1,0.6988201
679,0,0.5420885
680,1,3.5752034
681,0,0.585866
682,9,6.6694055
683,1,0.5975622
684,0,1.2137308
685,0,0.7440685
686,0,0.6871199
687,0,0.7248595
688,2,1.1390054
689,0,0.72264314
690,0,0.68258107
691,1,0.64304876
692,0,0.6629311
693,1,0.52983683
694,1,1.6632822
695,1,0.703492
696,0,0.47864306
697,1,0.59242725
698,2,1.1862764
699,2,2.9567018
700,1,0.6998275
701,1,0.66107064
702,0,0.505221
703,0,0.58262455
704,1,0.74403006
705,0,1.63776
706,0,1.1368315
707,1,1.0601141
708,0,0.58550876
709,1,0.5656855
710,0,0.4776299
711,0,0.46203232
712,1,0.8348269
713,0,0.54479307
714,0,0.4544332
715,0,0.7245013
716,2,0.5003551
717,0,0.4111091
718,0,0.36686027
719,1,0.4657817
720,1,0.84088385
721,0,0.29631984
722,0,0.36820233
723,0,0.43853688
724,1,0.33818245
725,2,2.5684247
726,4,3.0150995
727,1,8.40235
728,0,1.0920682
729,0,1.5778382
730,0,0.92875516
731,1,5.1682124
732,2,8.201428
733,3,0.97525954
734,0,1.2607875
735,0,3.4668295
736,1,1.3242358
737,1,1.6229222
738,3,5.6970263
739,0,3.0200977
740,1,2.1941726
741,3,3.9605927
742,0,1.6330758
743,1,1.2571781
744,4,4.641709
745,1,1.8836055
746,4,6.5684757
747,2,1.0396812
748,2,0.9475758
749,0,1.083713
750,0,1.1454289
751,1,1.1733809
752,1,3.7809348
753,0,1.0181997
754,1,2.2564745
755,0,1.6179109
756,2,1.4216282
757,0,1.071721
758,1,0.77697843
759,4,4.0131598
760,0,4.983569
761,0,0.6515973
762,2,1.7944052
763,0,0.63670933
764,1,1.0149724
765,2,6.114892
766,0,1.3525281
767,0,0.83935964
768,1,0.7498064
769,4,6.469231
770,0,0.7115318
771,0,0.8845911
772,0,1.1706016
773,0,0.7796192
774,2,0.947058
775,0,0.7068383
776,1,0.8239287
777,0,0.7522106
778,3,3.7158465
779,9,7.9974866
780,0,1.0121036
781,0,0.6480037
782,0,0.6846586
783,0,0.7188038
784,0,0.75122064
785,1,2.1496196
786,0,0.746295
787,1,1.3006293
788,1,0.84321964
789,1,1.3137287
790,2,4.9237
791,106,115.00265
792,1,2.3787413
793,0,0.62961686
794,1,1.0163679
795,0,1.567685
796,6,8.57184
797,2,2.1097822
798,2,2.8436573
799,1,2.5689325
800,0,0.57143867
801,4,5.0452886
802,4,1.8592128
803,2,9.805863
804,0,1.5797068
805,0,1.3912702
806,3,1.2220459
807,0,0.9196555
808,2,1.3118722
809,0,1.4139439
810,2,3.9451966
811,4,3.5983014
812,0,0.7011011
813,0,1.7369454
814,1,1.2296505
815,0,0.6276893
816,0,0.8406946
817,0,1.5282403
818,0,0.8972169
819,4,1.5069382
820,0,0.91121924
821,0,0.99853146
822,0,3.3658543
823,1,1.8819901
824,0,0.28780544
825,0,2.2504952
826,2,0.587486
827,1,1.1462946
828,0,0.33194494
829,1,0.6654146
830,6,8.860625
831,1,0.7290493
832,0,0.5018848
833,0,0.49072242
834,3,8.230215
835,0,0.43063498
836,2,0.9566939
837,0,1.1089343
